Section,Method,Path,Endpoint,Description,Notes
Auth,POST,/auth/register,POST /auth/register,Create user,
Auth,POST,/auth/login,POST /auth/login,Login and receive Oreo cookie,
Auth,GET,/auth/logout,GET /auth/logout,Clear Oreo cookie,
Auth,POST,/auth/send-otp,POST /auth/send-otp,Send password-reset OTP to email,
Auth,POST,/auth/verify-otp,POST /auth/verify-otp,Verify OTP and set kitkat cookie,
Auth,POST,/auth/reset-password,POST /auth/reset-password,Reset password (requires kitkat),
Public,POST,/public/contact-us,POST /public/contact-us,Submit contact form (implemented),
Common,PUT,/user/edit-profile,PUT /user/edit-profile,Update name/phone/photo (multipart),
Common,PATCH,/user/change-password,PATCH /user/change-password,Change password (old + new),
Restaurant,GET,/restaurant/get-restaurant-data?id=managerId,GET /restaurant/get-restaurant-data?id=managerId,Fetch restaurant profile by manager id,
Restaurant,PUT,/restaurant/update-profile,PUT /restaurant/update-profile,Create/update restaurant (multipart),
General,N/A,N/A,Error format,"{ \"message\": \"Error description\" }",All APIs use this format
General,N/A,N/A,HTTP Status Guide,"400,401,403,404,409,500","400 Bad Request; 401 Unauthorized; 403 Forbidden; 404 Not Found; 409 Conflict; 500 Server Error"
Models,N/A,N/A,User Model,"_id, fullName, email, phone, dob, gender, password(hashed), photo, userType",Short list of key fields
Models,N/A,N/A,Restaurant Model,"_id, managerId, restaurantName, address, cuisineTypes, images, isOpen, status, averageRating, servingHours",Short list of key fields
Models,N/A,N/A,Customer Model,"_id, customerId, addressBook[]",Short list of key fields
Models,N/A,N/A,Rider Model,"_id, riderId, vehicleDetails, documents, currentLocation, isAvailable",Short list of key fields
Models,N/A,N/A,Order Model,"_id, restaurantId, customerId, riderId?, orderItems[], orderStatus, billDetails, deliveryAddress, paymentDetails",Short list of key fields
Models,N/A,N/A,Menu Model,"_id, restaurantId, menuItems[]",Short list of key fields
Models,N/A,N/A,Contact Model,"_id, fullName, email, phone, subject, message, createdAt",Short list of key fields
